Awards,Host,Nickname,Year,Title,Team,Students,Slides,Write_ups,Video,Codes
NA,Arizona State University,ASU,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/NA.pdf,NA,NA,NA
Best Business Insight,Arizona State University,ASU,2018,Visualizing Job Growth in Industries Over Time: a Shiny and Leaflet Application in R,M&M,"Miriam Goldman, Megan Woodyard",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_ASU_Other_1.pdf,NA,NA,NA
Best Visualization,Arizona State University,ASU,2018,NA,Average,"Gabriel Clonts, Christine Liu, Mehdi Moustaoui, Alexandra Ryazanova",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_ASU_BestVisualization.pdf,NA,NA,NA
Best In Show,Arizona State University,ASU,2018,The Best States to Find A Job &The Most Suitable Jobs For You,Panda,"Jinxin Hu, Xiaoyu Zhu, Zihan Wei, Lun Sai",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_ASU_Other_2.pdf,NA,NA,NA
Best In Show,Arizona State University,ASU,2018,"Best Job Locationbased on cost of living, median income, and job demand",THE Initiative,"Allison Maney, Sean Wetle, Rachel Wetle, Dan Petty",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_ASU_Other_3.pdf,NA,NA,NA
Best Use Of External Data,Arizona State University,ASU,2018,Clicks for the job,3df,"Chasah Irmawati, El-ham Ismail",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_ASU_BestUseOfExternalData.pdf,NA,NA,NA
Best Insight,Arizona State University,ASU,2019,Optimizing Rugby Training Under Fatigue,Data Me Down,"Justin Ferrara, Nomith Murari, Farhan Khera",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_ASU_BestInsight.pdf,NA,NA,NA
Best In Show,Arizona State University,ASU,2019,Optimizing Objective Performance with Wellness Indicators,The Brogrammers,"Alex Almeida, Bryson Gregory, Troy Gilchrist, Benjamin Jones, Justin Fink",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_ASU_Other_1.pdf,NA,NA,NA
Best Visualization,Arizona State University,ASU,2019,NA,Data TheraPy,"Sachit Gulati, Prakshal Jain, Charly McCown, Dan Petty",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_ASU_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,Arizona State University,ASU,2019,Results of Logistic Regression for Pain,Datamax,"Oscar Goodloe, Manuel Sandoval Madrigal, Joshua Pata",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_ASU_BestUseOfExternalData.pdf,NA,NA,NA
NA,Arizona State University,ASU,2020,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_ASU_NA.pdf,NA,NA,NA
Best Insight,Arizona State University,ASU,2021,RISK FACTORS ASSOCIATED WITH DRUG MISUSE & FEATURE REDUCTION,Surprised Pikachu,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_ASU_BestInsight.pdf,NA,NA,NA
Best Visualization,Arizona State University,ASU,2021,Investigating Indicators of High Non-Medical Drug Use Among the United States Indigenous Populations,The Outliers,"Abrielle Agron, Joseph Barr, Nick Mortimore, Tyrus E. Nelson, Linh Ta",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_ASU_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,Arizona State University,ASU,2021,Drug Misuse Exploration,Exploratory,"Andre Williams, Rebecca Martin, Cindy Lu Miranda",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_ASU_BestUseOfExternalData.pdf,NA,NA,NA
Best Use of Machine Learning,Arizona State University,ASU,2021,Textual Alysis of Non-prescription Drug Misuse by Age Group,Lasag,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_ASU_Other_1.pdf,NA,NA,NA
Broadest Data Analysis,Arizona State University,ASU,2021,Cracking the Code on Codeine,Devils,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_ASU_Other_2.pdf,NA,NA,NA
Best Insight,Arizona State University,ASU,2022,"WE'RE SKEWED, MINIGAME 2 IS SKEWED, WE'RE ALL SKEWED!",Were Skewed,"Colleen Ung, Jayden Chrzanowski, Ryn Huesgen, Mila Marshall, and Samuel Northam",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_ASU_BestInsight.pdf,NA,NA,NA
Best Visualization,Arizona State University,ASU,2022,No Pi Charts,Team 05,"Sayyed Faraz, Mohseni Magnus, Magnusson Lane, Robert Lewis, Akash Satpathy, Gary Bales",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_ASU_BestVisualization.pdf,NA,NA,NA
Best Use Of External Data,Arizona State University,ASU,2022,NA,Team 14,"Vishesh Kumar, Chloe Cobb, Hanh Nguyen, Justin Jin",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_ASU_BestUseOfExternalData.pdf,NA,NA,NA
Judge's Choice,Arizona State University,ASU,2022,ASU DataFest 2022 Fil Report,Codechella,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_ASU_Other_1.pdf,NA,NA,NA
Judge's Choice,Arizona State University,ASU,2022,Alysis of S5 Scores & Other In-Game Trends,NA,"Hector Beltran, Sean Peck-Collier, Alexandru Folta, Hari Krishn, Michelle Solorio",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_ASU_Other_2.pdf,NA,NA,NA
NA,Australian National University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,NA
NA,Australian National University,NA,2018,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018__NA.pdf,NA,NA,NA
NA,Australian National University,NA,2019,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019__NA.pdf,NA,NA,NA
NA,Australian National University,NA,2020,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020__NA.pdf,NA,NA,NA
NA,Australian National University,NA,2021,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021__NA.pdf,NA,NA,NA
NA,Australian National University,NA,2022,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022__NA.pdf,NA,NA,NA
Best Insight,Australian National University,ANU,2021,INVESTIGATION: Possible Factors of the Non-medical Use of Drugs in Germany,NA,NA,NA,NA,NA,NA
Best Visualization,Australian National University,ANU,2021,ASA DataFest,NA,NA,NA,NA,NA,NA
Best Use Of External Data,Australian National University,ANU,2021,What are the Factors that Influence the Non-medical Use (NMU) of Opioids in Canada?,NA,NA,NA,NA,NA,NA
Best Insight,Australian National University,ANU,2022,Modelling Drug Susceptibility Based on PlayForward Game Performance,NA,NA,NA,NA,NA,NA
Best Visualization,Australian National University,ANU,2022,Finding Engagement Metrics In Game Elm City Stories,NA,NA,NA,NA,NA,NA
Best Use Of External Data,Australian National University,ANU,2022,DATAFest: Play2Prevent Dataset (Best Use of Statistical Analysis),NA,NA,NA,NA,NA,NA
Best Visualization,Babson College,BC,2018,Would you move for a job?,NA,NA,NA,NA,NA,NA
Best Use Of External Data,Babson College,BC,2018,On the job,NA,NA,NA,NA,NA,NA
NA,Brown University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,NA
NA,Brown University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,NA
NA,Brown University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,NA
NA,Brown University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,NA
NA,Brown University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,NA
NA,Brown University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,NA
