"","timestamp","host","city","state","country","url","address","lon","lat","year","df","num_part","other_inst","major_dist","winners_insight","winners_visualization","winners_external","Remarks"
"1","06/01/22 8:48","Arizona State University","Tempe","Arizona","USA","https://math.asu.edu/datafest-2022","Tempe, AZ",-111.8658,33.3289,2022,"Yes",68,NA,"Mathematics:11.8%;Statistics:30.9%;Engineering:39.7%;Natural Science:8.8%;Social Science:4.4%; Undeclared:4.4%","WEâ€™RE SKEWED, MINIGAME 2 IS SKEWED, WEâ€™RE ALL SKEWED!","No Pi Charts","Team 14",""
"2","06/04/22 21:41","Australian National University","Canberra","Australian Capital Territory","Australia",NA,"Canberra, ACT, Australia",149.1183238,-35.28105184,2022,"Yes",NA,NA,NA,NA,NA,NA,""
"3",NA,"Brown University","Providence","Rhode Island","USA",NA,"Providence Rhode Island USA",-71.4128343,41.8239891,2022,"No",NA,NA,NA,NA,NA,NA,"Data yet to be received/ Not received"
"4","","Case Western Reserve University","Cleveland","Ohio","USA","http://mathstats.case.edu/datafest-2017/","Cleveland Ohio USA",-81.6943605,41.49932,2022,"No",NA,NA,NA,NA,NA,NA,"Data yet to be received/ Not received"
"5","","Chapman University","Orange","California","USA","http://www.chapman.edu/scst/conferences-and-events/datafest.aspx","Orange California USA",-117.8531007,33.7879139,2022,"No",NA,NA,NA,NA,NA,NA,"Data yet to be received/ Not received"
"6","","Cleveland State University","Cleveland","Ohio","USA","https://sites.google.com/view/csudatafest/home","Cleveland Ohio USA",-81.6943605,41.49932,2022,"No",NA,NA,NA,NA,NA,NA,"Data yet to be received/ Not received"
"7","06/02/22 14:54","Columbia University","New York","New York","USA","https://econ.columbia.edu/data-fest-columbia-statistics-club-march-25-27/","New York, NY",-73.96259416,40.807503,2022,"Yes",6,NA,"Statistics; Data science",NA,"IS GAMEPLAY BEHAVIOR ASSOCIATED WITH EFFICACY IN RESISTING DRUGS?",NA,""
"8","29/06/22 14:42","Duke University","Durham","North Carolina","USA","http://stat.duke.edu/datafest","Durham North Carolina USA",-78.898619,35.9940329,2022,"Yes",56,NA,"Statistics (14); Computer Science ( 13); Quantitative Management (MS) (9); Economics (9); Data Science (4)","","","",""
"9","","Davidson College","Davidson","North Carolina","USA","https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest","Davidson North Carolina USA",-80.8486846,35.4993031,2022,"No",NA,NA,NA,NA,NA,NA,"Data yet to be received/ Not received"
"10","","Emory University","Atlanta","Georgia","USA","http://www.quantitative.emory.edu/events/datafest%20.html","Atlanta Georgia USA",-84.3879824,33.7489954,2022,"No",NA,NA,NA,NA,NA,NA,"Data yet to be received/ Not received"
